C:\Users\Mckoy Quinto\Desktop\3 STOREY APARTMENT.dwg,Model,10/30/2024 6:31:18 AM,New User,DWG To PDF 1.pc3,ARCHI1 (30.00 x 20.00 Inches),1:2.39,
C:\Users\Mckoy Quinto\Desktop\jesus.dwg,Model,12/8/2024 1:24:42 PM,New User,DWG To PDF.pc3,ANSI full bleed A (8.50 x 11.00 Inches),1:0.894073,
C:\Users\Mckoy Quinto\Desktop\jesus.dwg,Model,12/8/2024 1:43:56 PM,New User,DWG To PDF.pc3,ANSI full bleed A (8.50 x 11.00 Inches),1:0.993527,
C:\Users\Mckoy Quinto\Desktop\KAMILLA.dwg,Model,12/9/2024 10:57:53 AM,New User,DWG To PDF.pc3,ISO expand A3 (297.00 x 420.00 MM),1:0.103428,
C:\Users\Mckoy Quinto\Desktop\KAMILLA.dwg,Model,12/9/2024 1:07:00 PM,New User,DWG To PDF.pc3,ISO expand A3 (297.00 x 420.00 MM),1:0.103428,
C:\Users\Mckoy Quinto\Desktop\KAMILLA.dwg,Model,12/9/2024 11:07:44 PM,New User,DWG To PDF.pc3,ISO expand A3 (297.00 x 420.00 MM),1:0.103017,
C:\Users\Mckoy Quinto\Desktop\KAMILLA.dwg,Model,12/10/2024 9:56:11 AM,New User,DWG To PDF.pc3,ISO expand A3 (297.00 x 420.00 MM),1:0.103017,
C:\Users\Mckoy Quinto\Desktop\CHANNEL.dwg,Model,12/12/2024 8:27:48 PM,New User,DWG To PDF.pc3,ISO expand A4 (297.00 x 210.00 MM),1:0.144586,
C:\Users\Mckoy Quinto\Desktop\CHANNEL.dwg,Model,12/12/2024 9:28:32 PM,New User,DWG To PDF.pc3,ISO expand A4 (297.00 x 210.00 MM),1:0.144083,
C:\Users\Mckoy Quinto\Desktop\kumisyon\KAMILLA.dwg,Model,12/16/2024 10:04:27 PM,New User,DWG To PDF.pc3,ANSI A (8.50 x 11.00 Inches),1:1.51794,
C:\Users\Mckoy Quinto\Desktop\kumisyon\KAMILLA.dwg,Model,12/17/2024 10:01:20 PM,New User,DWG To PDF.pc3,ANSI A (8.50 x 11.00 Inches),1:5.08626,
C:\Users\Mckoy Quinto\Desktop\kumisyon\KAMILLA.dwg,Model,12/17/2024 10:47:49 PM,New User,DWG To PDF.pc3,ANSI A (8.50 x 11.00 Inches),1:5.01944,
C:\Users\Mckoy Quinto\Desktop\kumisyon\KAMILLA.dwg,Model,12/20/2024 9:54:47 PM,New User,DWG To PDF.pc3,ANSI A (8.50 x 11.00 Inches),1:0.862002,
